Fiyat,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Renk
930000.0,2020,119325,Otomatik,Dizel,Beyaz
640000.0,2020,98000,Duz,Benzin,Gri
855000.0,2024,8800,Duz,Benzin,Mavi
779750.0,2022,77000,Duz,Dizel,Beyaz
790000.0,2020,112550,Duz,Dizel,Beyaz
667000.0,2020,140000,Duz,Dizel,Beyaz
687900.0,2020,150600,Otomatik,Dizel,Beyaz
889000.0,2024,6100,Duz,Benzin,Mavi
769750.0,2022,86000,Duz,Dizel,Beyaz
915000.0,2023,23000,Duz,Benzin,Füme
799000.0,2022,93636,Duz,Benzin,Beyaz
950000.0,2023,38847,Otomatik,Dizel,Beyaz
970000.0,2022,83040,Yari Otomatik,Dizel,Gri
975000.0,2024,6500,Duz,Dizel,Beyaz
719900.0,2022,92000,Duz,Benzin,Beyaz
697000.0,2021,93000,Duz,Benzin,Beyaz
825000.0,2023,48000,Duz,Dizel,Beyaz
499900.0,2017,218000,Duz,Dizel,Beyaz
790000.0,2020,118031,Otomatik,Dizel,Kırmızı
710000.0,2022,49620,Duz,Benzin,Gri
759000.0,2021,89000,Duz,Dizel,Beyaz
685000.0,2021,79800,Duz,Dizel,Beyaz
965000.0,2023,23380,Duz,Benzin,Turuncu
805000.0,2020,171305,Duz,Dizel,Beyaz
647000.0,2020,68700,Duz,Benzin,Beyaz
1055000.0,2022,90000,Otomatik,Dizel,Beyaz
835000.0,2022,94500,Otomatik,Dizel,Beyaz
520000.0,2017,250000,Duz,Dizel,Beyaz
840000.0,2020,172224,Yari Otomatik,Dizel,Siyah
540000.0,2017,188000,Duz,Dizel,Beyaz
785000.0,2021,46000,Duz,LPG & Benzin,Mavi
895000.0,2023,13340,Duz,Benzin,Gri
619000.0,2022,114000,Duz,Benzin,Beyaz
675000.0,2021,122000,Duz,Benzin,Beyaz
760000.0,2021,81000,Duz,Benzin,Beyaz
679000.0,2017,163000,Duz,Dizel,Beyaz
730000.0,2021,113000,Duz,Dizel,Beyaz
769750.0,2022,82000,Duz,Dizel,Beyaz
775000.0,2023,10000,Duz,Benzin,Füme
919000.0,2023,35000,Duz,Dizel,Gri
665000.0,2020,150000,Duz,Dizel,Beyaz
725000.0,2018,180000,Otomatik,Dizel,Beyaz
495000.0,2016,156000,Duz,Dizel,Beyaz
620000.0,2017,234200,Otomatik,Benzin,Gri
622500.0,2016,201000,Duz,Dizel,Beyaz
1150000.0,2024,6001,Duz,Dizel,Gri (Gümüş)
1145000.0,2023,50000,Otomatik,Dizel,Füme
698750.0,2022,119380,Duz,Dizel,Beyaz
760000.0,2019,184000,Otomatik,Dizel,Beyaz
558550.0,2020,175000,Duz,Benzin,Beyaz
1030000.0,2024,23000,Duz,Dizel,Gri
825000.0,2023,22000,Duz,Benzin,Gri
545000.0,2018,195000,Duz,Dizel,Beyaz
525000.0,2018,243000,Duz,Dizel,Beyaz
650000.0,2020,135000,Duz,LPG & Benzin,Beyaz
599900.0,2019,164725,Duz,Dizel,Beyaz
638850.0,2021,124000,Duz,Benzin,Mavi
823100.0,2023,9250,Duz,Benzin,Gri
720000.0,2020,240000,Otomatik,Dizel,Beyaz
739990.0,2020,149000,Otomatik,Dizel,Beyaz
865000.0,2022,17000,Duz,Dizel,Beyaz
449500.0,2017,145000,Duz,LPG & Benzin,Gri (Gümüş)
779000.0,2023,32000,Duz,Benzin,Gri
460000.0,2019,632000,Duz,Dizel,Beyaz
660000.0,2021,53596,Duz,Benzin,Gri
720000.0,2021,18000,Duz,Benzin,Gri
875000.0,2023,28000,Duz,Benzin,Mavi
920000.0,2023,46000,Otomatik,Dizel,Beyaz
619500.0,2018,82000,Duz,LPG & Benzin,Kırmızı
890000.0,2020,117000,Otomatik,Dizel,Beyaz
612900.0,2019,81000,Duz,Benzin,Beyaz
560000.0,2019,135000,Duz,Benzin,Beyaz
905000.0,2024,6001,Duz,Benzin,Gri (titanyum)
490000.0,2017,270000,Duz,Dizel,Beyaz
799000.0,2021,50000,Duz,Dizel,Beyaz
754750.0,2023,17270,Duz,Benzin,Gri
868750.0,2022,83000,Yari Otomatik,Dizel,Beyaz
622000.0,2019,80000,Duz,Benzin,Beyaz
540000.0,2016,168000,Duz,Dizel,Beyaz
1149000.0,2024,11000,Yari Otomatik,Dizel,Beyaz
595000.0,2016,223000,Otomatik,Benzin,Beyaz
645000.0,2020,113000,Duz,Benzin,Beyaz
908500.0,2022,40000,Otomatik,Dizel,Beyaz
725000.0,2020,124000,Otomatik,Dizel,Beyaz
769000.0,2021,78500,Duz,Dizel,Beyaz
745000.0,2017,185000,Yari Otomatik,Dizel,Gri (metalik)
1090000.0,2021,17000,Duz,Dizel,Beyaz
736500.0,2023,28800,Duz,Benzin,Beyaz
1225000.0,2022,7750,Yari Otomatik,Dizel,Beyaz
574900.0,2020,133000,Duz,Dizel,Beyaz
550000.0,2016,227000,Duz,Dizel,Beyaz
819000.0,2022,35000,Duz,Benzin,Beyaz
855000.0,2020,135516,Yari Otomatik,Dizel,Beyaz
775000.0,2020,98000,Duz,Dizel,Gri
990000.0,2024,10500,Duz,Benzin,Mavi (metalik)
710000.0,2018,173000,Duz,Dizel,Beyaz
755000.0,2017,186000,Yari Otomatik,Dizel,Füme
675000.0,2016,173000,Otomatik,LPG & Benzin,Beyaz
695000.0,2020,79000,Duz,LPG & Benzin,Beyaz
825000.0,2020,60420,Yari Otomatik,Dizel,Beyaz
480000.0,2016,272000,Duz,Dizel,Beyaz
583900.0,2021,125000,Duz,Benzin,Beyaz
630000.0,2020,58500,Duz,Benzin,Beyaz
530000.0,2017,210000,Duz,Dizel,Beyaz
830000.0,2023,13000,Duz,Benzin,Beyaz
805000.0,2016,111000,Yari Otomatik,Dizel,Bordo
929850.0,2023,13200,Duz,Benzin,Mavi (metalik)
835750.0,2021,42000,Duz,Benzin,Turuncu
450000.0,2016,238000,Duz,Dizel,Beyaz
1400000.0,2024,8400,Yari Otomatik,Dizel,Turuncu
925000.0,2023,12000,Duz,Benzin,Füme
780000.0,2020,48200,Duz,Dizel,Beyaz
740000.0,2021,29600,Duz,Benzin,Beyaz
800000.0,2020,31250,Duz,Dizel,Beyaz
535000.0,2016,209000,Duz,Dizel,Beyaz
825000.0,2020,68864,Yari Otomatik,Dizel,Beyaz
665000.0,2022,25000,Duz,Benzin,Beyaz
825000.0,2022,13500,Duz,Benzin,Beyaz
690000.0,2021,93000,Duz,Benzin,Beyaz
799000.0,2023,17450,Duz,Benzin,Mavi (metalik)
832500.0,2024,20000,Duz,Benzin,Gri (metalik)
1140000.0,2022,18205,Otomatik,Hibrit,Beyaz
590000.0,2017,170000,Duz,Dizel,Beyaz
660000.0,2023,47000,Duz,Dizel,Beyaz
615000.0,2020,92000,Duz,Benzin,Beyaz
665000.0,2021,190000,Duz,Dizel,Beyaz
640000.0,2019,136500,Duz,LPG & Benzin,Gri
1225000.0,2023,40000,Otomatik,Hibrit,Mavi
770000.0,2020,130000,Yari Otomatik,Dizel,Beyaz
550000.0,2020,124000,Duz,LPG & Benzin,Mavi
805000.0,2020,15850,Duz,Benzin,Beyaz
790000.0,2021,89000,Duz,LPG & Benzin,Kırmızı
789900.0,2022,96000,Duz,Dizel,Beyaz
567500.0,2018,224000,Duz,Dizel,Beyaz
700000.0,2019,150000,Otomatik,Benzin,Beyaz
735000.0,2019,36000,Duz,LPG & Benzin,Beyaz
724000.0,2023,24852,Duz,Benzin,Gri
740000.0,2022,70000,Duz,Benzin,Gri
1030000.0,2022,60689,Yari Otomatik,Dizel,Mavi
630000.0,2016,155000,Duz,LPG & Benzin,Mavi
970000.0,2023,6001,Duz,Benzin,Gri (Gümüş)
665000.0,2020,111000,Duz,Dizel,Beyaz
623000.0,2019,80500,Duz,LPG & Benzin,Beyaz
695000.0,2022,54980,Duz,Benzin,Beyaz
670000.0,2017,103000,Duz,Dizel,Beyaz
575000.0,2016,225000,Duz,Dizel,Beyaz
875000.0,2022,17000,Duz,Dizel,Beyaz
395000.0,2016,733000,Duz,Dizel,Beyaz
614000.0,2017,192000,Otomatik,Dizel,Beyaz
600000.0,2016,172000,Duz,Dizel,Beyaz
1110000.0,2021,37700,Duz,Dizel,Beyaz
1135000.0,2023,22000,Yari Otomatik,Dizel,Beyaz
670000.0,2019,141000,Duz,Dizel,Beyaz
