Fiyat,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Renk
1019000,2023,18095,Otomatik,Benzin,Beyaz
730000,2022,79800,Duz,Benzin,Beyaz
495000,2014,290000,Duz,Dizel,Beyaz
989000,2023,26400,Otomatik,Benzin,Füme
955000,2024,10000,Duz,Benzin,Mavi
405000,2007,143800,Duz,Dizel,Gri (metalik)
329500,2007,255000,Duz,Dizel,Gri
979000,2023,23659,Otomatik,Benzin,Füme
825000,2020,21000,Duz,Benzin,Beyaz
1079000,2024,17000,Otomatik,Benzin,Mavi
995000,2023,30500,Otomatik,Benzin,Turuncu
465000,2009,169000,Duz,Benzin,Gri
845000,2022,50000,Otomatik,Benzin,Beyaz
1255000,2024,12500,Otomatik,Benzin,Lacivert
759000,2023,30500,Duz,Benzin,Beyaz
969500,2022,49433,Otomatik,Benzin,Kırmızı
675000,2016,138000,Duz,Dizel,Beyaz
730000,2018,153000,Yari Otomatik,Dizel,Beyaz
305000,2001,175000,Duz,Benzin,Mavi
260000,2005,291000,Duz,Dizel,Kahverengi
670000,2022,53000,Duz,Benzin,Beyaz
599500,2016,209171,Duz,Dizel,Siyah
1075000,2023,13200,Otomatik,Benzin,Kırmızı
988000,2023,6500,Otomatik,Benzin,Mavi
675000,2019,62000,Duz,Benzin,Beyaz
570000,2013,75000,Duz,Benzin,Siyah
689000,2016,93200,Duz,Dizel,Beyaz
595000,2016,197000,Duz,Dizel,Beyaz
680000,2018,150000,Duz,Dizel,Beyaz
